p,lambda,rho,d,n_samples,avg_acc,avg_f1,avg_rate,avg_kll,avg_rkll,avg_rte,avg_fro,avg_spec,avg_l1,std_acc,std_f1,std_rate,std_kll,std_rkll,std_rte,std_fro,std_spec,std_l1,best_thr,best_cm
25,0.01,0.1,15,1037,0.8400000000000001,0.8666666666666668,0.8666666666666668,0.01845983371655535,0.018302247308842112,0.004717226901556959,0.19159835917304807,0.08426746170610978,0.1924322545542425,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]])]"
25,0.01,0.5,15,1037,0.8400000000000001,0.8666666666666668,0.8666666666666668,0.018456732093373063,0.018299676208844318,0.004719153402776621,0.19160078884271675,0.08425558216893259,0.19240790723905143,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]])]"
25,0.01,1.0,15,1037,0.8400000000000001,0.8666666666666668,0.8666666666666668,0.01845651838558382,0.018299360327123537,0.004717302039365157,0.19158170309178518,0.08422094242081432,0.1923894567914343,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]])]"
25,0.01,2.0,15,1037,0.8400000000000001,0.8666666666666668,0.8666666666666668,0.01845620854073715,0.018298821855488256,0.004713536256996109,0.19154395876431068,0.08415443778124918,0.19235396720640405,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]]), array([[ 8,  2],
       [ 2, 13]])]"
25,0.05,0.1,15,1037,0.8800000000000001,0.8965517241379309,0.8666666666666668,0.015907118382394003,0.015666276620567743,0.0040334243949635695,0.16905660025064245,0.07577945098627334,0.16911114597770735,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]])]"
25,0.05,0.5,15,1037,0.8800000000000001,0.8965517241379309,0.8666666666666668,0.01584340914737936,0.015608812323634425,0.0040489217104262565,0.16915203735840353,0.07573936602295088,0.1691759335477059,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,1.3877787807814457e-17,0.0,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]])]"
25,0.05,1.0,15,1037,0.8800000000000001,0.8965517241379309,0.8666666666666668,0.015818692328096517,0.015586421246787552,0.004055741055783324,0.16913858264396237,0.07571542793797306,0.16912629421350706,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,2.7755575615628914e-17,1.3877787807814457e-17,0.0,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]])]"
25,0.05,2.0,15,1037,0.8800000000000001,0.8965517241379309,0.8666666666666668,0.01580478021353926,0.015573852811474609,0.00405827886283916,0.16910178416344454,0.0756997821362194,0.16903428446575064,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]])]"
25,0.1,0.1,15,1037,0.8800000000000001,0.8965517241379309,0.8666666666666668,0.01656176939821563,0.016241946823786435,0.003365578405734926,0.16710024923395886,0.07184087998440827,0.1620954286701038,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]])]"
25,0.1,0.5,15,1037,0.8800000000000001,0.8965517241379309,0.8666666666666668,0.016740421691277874,0.01641897568143591,0.0032986545639424047,0.16855355309397432,0.07253265682427724,0.164890817066841,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,"[np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01), np.float64(0.01)]","[array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]]), array([[ 9,  1],
       [ 2, 13]])]"
