p,lambda,rho,avg_acc,avg_f1,avg_rate,avg_kll,avg_rkll,avg_rte,avg_fro,avg_spec,avg_l1
25,0.01,0.5,0.96,0.898989898989899,0.9,0.2902417354152309,0.2856800954059029,0.033885385658827316,1885.7133302722218,751.024633034519,994.801281296979
25,0.01,1.0,1.0,1.0,1.0,0.8622873679417822,0.8944489066906876,0.08968899720265666,3407.069897197941,1572.5037119666488,2053.495490610264
25,0.01,2.0,0.9,0.6857142857142858,0.6000000000000001,0.13681476229679213,0.13652290332328754,0.015301725796077581,1276.7212116740934,520.5180007130216,647.671274273966
25,0.05,0.5,0.94,0.8194444444444444,0.7,0.11914783786301619,0.1212920242540303,0.039192767297743625,1266.402578730378,510.66281366374557,721.6301747755728
25,0.05,1.0,0.92,0.7499999999999999,0.6,0.3217479374033214,0.312353442971105,0.015641372508383766,1952.8200243596102,800.5801138456291,1178.3059962864954
25,0.05,2.0,0.9199999999999999,0.7777777777777777,0.7,0.7740564805803132,0.7486239099110765,0.07273795290046509,2775.562628952203,1460.822858055901,1887.1033910965377
25,0.1,0.5,0.94,0.8194444444444444,0.7,0.527919227634353,0.502227709284,0.05764934128142962,2348.5666573949184,830.5173526952176,1341.4167436059747
25,0.1,1.0,0.8999999999999999,0.6111111111111112,0.5,0.6241322369026321,0.6392328823610285,0.058035200290948,2815.6163923943345,1219.6771238268223,1660.8652662894542
25,0.1,2.0,0.94,0.8194444444444444,0.7,1.3368531487755053,1.3007136626753724,0.09915070087649225,3779.1952391371533,1502.7536748052476,2357.536289405266
25,0.2,0.5,0.84,0.33333333333333337,0.2,0.4907280703141428,0.47898288394249455,0.017080847067322713,2436.824973037493,939.4101089865746,1335.0023473540962
25,0.2,1.0,0.88,0.5714285714285715,0.4,0.6186526134348114,0.6144420787493665,0.04944803990586916,2742.8854368658112,1038.613890360272,1638.554237109025
25,0.2,2.0,0.88,0.5714285714285715,0.4,1.026783481816265,0.9696471096083243,0.06724489340454987,3434.4549092272555,1452.0782732544621,2015.2093342260596
50,0.01,0.5,0.99,0.9444444444444444,0.9,0.038362905394340174,0.03782884847414891,0.014819906748977263,667.8217810969879,208.95505430471817,267.7769355567027
50,0.01,1.0,0.99,0.9444444444444444,0.9,0.37324127993977996,0.3722756129054723,0.030209952681571617,2193.960195929566,793.1905238230863,1061.0669667507377
50,0.01,2.0,1.0,1.0,1.0,1.9341124509357357,1.8937000447012124,0.06650597437053746,4801.141003006314,1378.1267328582596,1689.600836783831
50,0.05,0.5,0.99,0.9444444444444444,0.9,0.03779421008933781,0.03735461196649226,0.01145741742204437,659.6264502717736,212.93734808644928,299.44215728111044
50,0.05,1.0,0.99,0.9444444444444444,0.9,0.3800032136690419,0.3762603178826893,0.023246587492058213,2010.4708060736484,648.4246636073265,915.850820478624
50,0.05,2.0,0.99,0.9444444444444444,0.9,0.9363386238270763,0.9349585475199795,0.045869324172460424,3281.704498759649,985.0932340099462,1239.8606229118282
50,0.1,0.5,0.99,0.9444444444444444,0.9,0.20183877975484776,0.1945632543092195,0.018632584040566946,1506.7880486061608,505.6504402702193,659.7054671123008
50,0.1,1.0,0.99,0.9444444444444444,0.9,0.23201880157256483,0.23655719971353406,0.04457173173778595,1885.8944961208372,666.1323633717325,809.893504593671
50,0.1,2.0,0.99,0.9444444444444444,0.9,1.5351906686859245,1.5379771840541636,0.06781062821129485,4400.487655866491,1264.445946068047,1958.160464701456
50,0.2,0.5,0.96,0.7499999999999999,0.6,0.4673569789322336,0.46974389896713475,0.027703844750821438,2437.586686882445,754.0305772954373,980.4949695773263
50,0.2,1.0,0.97,0.7857142857142858,0.7,0.7426276184290259,0.7584182701161062,0.05637516355140043,3172.730300727093,1077.2874120801587,1422.4258344298687
50,0.2,2.0,0.95,0.6607142857142857,0.5,1.0709153342961706,1.1000846184035744,0.06518982988590932,3663.9999234480356,1071.2661761931954,1334.159872329442
75,0.01,0.5,1.0,1.0,1.0,0.026958962396591346,0.026958508231480494,0.009788357389269309,580.4167146105772,150.1306465512112,209.33276261697705
75,0.01,1.0,1.0,1.0,1.0,0.14733942661450072,0.14740109464655404,0.010231971726050337,1087.4261510484266,244.75753350547578,295.0832972740142
75,0.01,2.0,1.0,1.0,1.0,1.2219817837209703,1.2493659062951892,0.07160243960866886,4175.778436589884,1183.6531154434579,1535.9416578655273
75,0.05,0.5,1.0,1.0,1.0,0.059018648592420675,0.05908873701271489,0.013982511429205424,904.9812743548364,243.70750082238845,346.4469668959036
75,0.05,1.0,0.9866666666666667,0.898989898989899,0.9,0.09834937608082583,0.09819610583747362,0.012289605041203022,1135.8752519143948,328.77315995711444,458.9363553034699
75,0.05,2.0,0.9933333333333334,0.9545454545454546,1.0,0.6891752283186605,0.6757959017827204,0.033656778123513365,2827.6646291346515,659.0508861913547,853.6468514990122
75,0.1,0.5,0.9733333333333334,0.7499999999999999,0.6,0.32431104082747453,0.3246051000461847,0.02156063924156415,2017.132180324922,755.3184689342663,1011.7758590805263
75,0.1,1.0,0.9933333333333334,0.9444444444444444,0.9,0.18219244570862259,0.17835259053786245,0.009838390632101679,1470.072757328544,395.14763099706437,508.5038278071356
75,0.1,2.0,1.0,1.0,1.0,0.7362651305703238,0.7514662374780983,0.042736506231358384,3026.145842210315,695.3718476097276,934.7893741720011
75,0.2,0.5,0.9733333333333334,0.7499999999999999,0.6,0.38859762789955,0.3861724712920065,0.019982677094636025,2219.400008113879,535.7520975559493,801.896268049773
75,0.2,1.0,0.9866666666666667,0.888888888888889,0.8,0.5148275775462778,0.5132422512859875,0.03281886878787116,2583.005312231986,625.9857356458714,988.5226538552246
75,0.2,2.0,1.0,1.0,1.0,0.4314968642665349,0.4239196146239621,0.04047123863246299,2383.509221399233,722.3796675510371,1021.2191797774512
100,0.01,0.5,1.0,1.0,1.0,0.017466684054859627,0.017457820681315184,0.011454144129137478,514.1027993997853,136.06136262056955,167.23713314978565
100,0.01,1.0,1.0,1.0,1.0,0.007470369908169516,0.007535129925486217,0.004924283903166127,306.98961809045363,71.12899916143007,107.20286895984421
100,0.01,2.0,1.0,1.0,1.0,0.08090879826573172,0.07861192124254757,0.0031112617131132114,873.9502568402846,207.46822162415882,288.1010815742284
100,0.05,0.5,0.995,0.9444444444444444,0.9,0.061395668458125385,0.0605544211496607,0.0045196270412329875,859.0045719451601,209.27757640642153,281.03181891883236
100,0.05,1.0,0.995,0.9444444444444444,0.9,0.1394996671512061,0.1409220231679882,0.01782103448743433,1331.058298163899,352.9363709348779,468.1428651022046
100,0.05,2.0,1.0,1.0,1.0,0.18465659719900174,0.17901409212456088,0.004104114063492037,1449.7685035245577,429.7033898443309,530.2303855218024
100,0.1,0.5,0.995,0.9444444444444444,0.9,0.15082274237609994,0.14889714700930057,0.0070547347754300604,1251.2365914655802,266.07331036266896,369.3448217074619
100,0.1,1.0,1.0,1.0,1.0,0.15430947128378847,0.15650257999754302,0.021356645152362297,1502.2505762640035,358.1515231382624,477.14408640347926
100,0.1,2.0,1.0,1.0,1.0,0.11667455355873102,0.11674214876130407,0.012387364189623107,1241.4166537043782,275.9329926488266,353.23332006261495
100,0.2,0.5,1.0,1.0,1.0,0.4998279780354835,0.5090794766438052,0.04246336478632895,2757.936960941919,687.2108286424733,806.0198918688365
100,0.2,1.0,0.995,0.9444444444444444,0.9,0.526450973505554,0.5253393399966555,0.023907310624610045,2582.5523544122616,591.9681189204699,734.1770263346687
