p,lambda,rho,avg_acc,avg_f1,avg_rate,avg_kll,avg_rkll,avg_rte,avg_fro,avg_spec,avg_l1
25,0.01,0.5,0.96,0.9090909090909091,1.0,70.73436380203088,2474.4855805678517,0.9714156905931408,13059.523537789151,3867.215583638436,4792.455482067454
25,0.01,1.0,1.0,1.0,1.0,0.08228678960855618,0.07972880871019683,0.005458633459485496,964.7088935113235,339.41951119813035,424.7045957484081
25,0.01,2.0,1.0,1.0,1.0,0.3263749730549854,0.32961608109058815,0.04104637598694738,2073.148552232254,858.5094120137188,1115.6727883632298
25,0.05,0.5,0.92,0.7499999999999999,0.6,0.1749763040755461,0.1837938781957149,0.04486910571255098,1556.9619134057352,622.6008624141227,825.1062882439196
25,0.05,1.0,0.96,0.888888888888889,0.8,0.5834809679552677,0.5584975956172435,0.0524090460251192,2674.1644151810588,996.5672824108558,1373.250141010414
25,0.05,2.0,1.0,1.0,1.0,0.569644708834737,0.5784470712749687,0.0766138421097704,2776.5058715957775,1271.217749601564,1842.6483757360754
25,0.1,0.5,0.84,0.33333333333333337,0.2,0.41886865109713867,0.4130427587573635,0.021855747698783068,2254.878817883381,664.1653694016469,886.8417295803845
25,0.1,1.0,0.92,0.7499999999999999,0.6,1.1080372962067955,1.0572326363719355,0.12858324146145406,3529.9921195080574,1565.0244165244844,2100.7605002860487
25,0.1,2.0,0.92,0.7499999999999999,0.6,0.3967676150014299,0.40840908099401574,0.03588980602734859,2258.0471679582524,870.5690417139426,1154.9530238079112
25,0.2,0.5,0.88,0.5714285714285715,0.4,0.804006160898961,0.8822828079955443,0.09208763714721024,3293.7434920395826,1247.8053828352201,1926.1246037943656
25,0.2,1.0,0.92,0.7499999999999999,0.6,1.3973800204676756,1.481385013315787,0.12862280288602357,4162.074457259847,1602.446840275614,2687.9425816057046
25,0.2,2.0,0.84,0.33333333333333337,0.2,0.7421528273646736,0.8346394649104099,0.10005403728886775,3199.848084826895,1292.39264198446,1563.1769521049073
50,0.01,0.5,0.94,0.5714285714285715,0.4,221.63374458452722,11701.853116838118,0.9951192865909109,18666.09963650064,3932.8974577077865,4201.863434954037
50,0.01,1.0,0.96,0.7499999999999999,0.6,53.72600970488824,200.26637865113076,0.8557967585817285,15809.024420751717,3074.957332361309,3453.496683039306
50,0.01,2.0,1.0,1.0,1.0,0.49714209004091003,0.49565550083752186,0.06146536346138487,2717.7546802807387,889.4855686380602,1207.6912292306824
